"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info""";;;;;;;;;;;;;;;;;;time 2;time 1;delay; delay2 ;delay 1;   jitter
"52,""1.695756"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1 Ack=27201 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"53,""1.699707"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"54,""1.723845"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=10881 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"55,""1.729958"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=12241 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"56,""1.730070"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=13601 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"57,""1.730328"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=13601 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"58,""1.730522"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=14961 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"59,""1.730555"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=16321 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"60,""1.740894"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1 Ack=28561 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"61,""1.769940"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=16321 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"62,""1.770092"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=17681 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"63,""1.770147"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=19041 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"64,""1.770509"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52755 [ACK] Seq=20401 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"65,""1.770555"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 63#1] 52755  >  80 [ACK] Seq=438 Ack=19041 Win=515 Len=0 SLE=20401 SRE=21761""";;;;;;;;;;;;;;;;;;;;;;;
"66,""1.782069"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=21761 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"67,""1.782230"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 63#2] 52755  >  80 [ACK] Seq=438 Ack=19041 Win=515 Len=0 SLE=20401 SRE=23121""";;;;;;;;;;;;;;;;;;;;;;;
"68,""1.782562"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=23121 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"69,""1.782604"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 63#3] 52755  >  80 [ACK] Seq=438 Ack=19041 Win=515 Len=0 SLE=20401 SRE=24481""";;;;;;;;;;;;;;;;;;;;;;;
"70,""1.782977"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Fast Retransmission] 80  >  52755 [ACK] Seq=19041 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"71,""1.783025"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=24481 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"72,""1.805777"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=24481 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
