"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info""";;;;;;;;;;;;;;;;;;time 2;time 1;delay; delay2 ;delay 1;   jitter
"3084,""36.475671"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=901936 Ack=5682 Win=175 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"3085,""36.475795"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52748  >  80 [ACK] Seq=5682 Ack=903296 Win=515 Len=0 SLE=904656 SRE=912731""";;;;;;;;;;;;;;;;;;;;;;;
"3086,""36.476133"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52747 [ACK] Seq=517497 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3087,""36.476175"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3081#1] 52747  >  80 [ACK] Seq=3497 Ack=513417 Win=515 Len=0 SLE=517497 SRE=518857""";;;;;;;;;;;;;;;;;;;;;;;
"3088,""36.476649"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=518857 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3089,""36.476685"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3081#2] 52747  >  80 [ACK] Seq=3497 Ack=513417 Win=515 Len=0 SLE=517497 SRE=520217""";;;;;;;;;;;;;;;;;;;;;;;
"3090,""36.481653"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=520217 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3091,""36.481769"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3081#3] 52747  >  80 [ACK] Seq=3497 Ack=513417 Win=515 Len=0 SLE=517497 SRE=521577""";;;;;;;;;;;;;;;;;;;;;;;
"3092,""36.487780"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=521577 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3093,""36.487892"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3081#4] 52747  >  80 [ACK] Seq=3497 Ack=513417 Win=515 Len=0 SLE=517497 SRE=522937""";;;;;;;;;;;;;;;;;;;;;;;
"3094,""36.514738"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=903296 Ack=5682 Win=175 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"3095,""36.514896"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=5682 Ack=912731 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3096,""36.526600"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52747 [ACK] Seq=513417 Ack=3497 Win=170 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"3097,""36.526718"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52747  >  80 [ACK] Seq=3497 Ack=514777 Win=515 Len=0 SLE=517497 SRE=522937""";;;;;;;;;;;;;;;;;;;;;;;
"3098,""36.540710"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52747 [ACK] Seq=514777 Ack=3497 Win=170 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"3099,""36.540839"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52747  >  80 [ACK] Seq=3497 Ack=516137 Win=515 Len=0 SLE=517497 SRE=522937""";;;;;;;;;;;;;;;;;;;;;;;
"3100,""36.552611"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52747 [ACK] Seq=516137 Ack=3497 Win=170 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"3101,""36.552747"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=522937 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3102,""36.598482"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=522937 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3103,""36.598643"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=524297 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3104,""36.598762"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=525657 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3105,""36.599212"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=525657 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3106,""36.604380"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=527017 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3107,""36.604477"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=528377 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3108,""36.648633"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=528377 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3109,""36.654718"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=529737 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3110,""36.654830"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=531097 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3111,""36.655115"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=531097 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3112,""36.660612"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=532457 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3113,""36.660774"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=533817 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3114,""36.661112"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=533817 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3115,""36.700863"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=535177 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3116,""36.749615"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=535177 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3117,""36.755846"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=536537 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3118,""36.755957"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=537897 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3119,""36.756242"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=537897 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3120,""36.756437"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=539257 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3121,""36.756483"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=540617 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3122,""36.761710"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=540617 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3123,""36.803060"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=541977 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3124,""36.829590"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=541977 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3125,""36.835591"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=543337 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3126,""36.835702"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=544697 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3127,""36.836001"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=544697 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3128,""36.841477"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=546057 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3129,""36.841588"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=547417 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3130,""36.847694"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=547417 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3131,""36.889094"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=548777 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3132,""36.909706"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=548777 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3133,""36.915878"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=550137 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3134,""36.915990"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=551497 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3135,""36.916358"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=551497 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3136,""36.916461"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=552857 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3137,""36.916499"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=554217 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3138,""36.939376"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=554217 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3139,""36.945448"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=555577 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3140,""36.945561"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=556937 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3141,""36.972283"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=556937 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3142,""36.972439"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=558297 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3143,""36.972500"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=559657 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3144,""36.978205"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=559657 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3145,""36.978469"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=561017 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3146,""36.978554"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=562377 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3147,""37.111595"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52747 [ACK] Seq=563737 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3148,""37.111707"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3146#1] 52747  >  80 [ACK] Seq=3497 Ack=562377 Win=515 Len=0 SLE=563737 SRE=565097""";;;;;;;;;;;;;;;;;;;;;;;
"3149,""37.117468"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52747 [ACK] Seq=562377 Ack=3497 Win=170 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"3150,""37.117588"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=565097 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3151,""37.123441"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=565097 Ack=3497 Win=170 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3152,""37.123683"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1331"",""80  >  52747 [PSH, ACK] Seq=566457 Ack=3497 Win=170 Len=1277 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3153,""37.123763"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=3497 Ack=567734 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3154,""37.604219"",""192.168.43.22"",""192.229.232.240"",""HTTP"",""491"",""GET /filestreamingservice/files/4e6356d9-c60d-444b-bf25-60a1b6fce4a6?P1=1602184095&P2=402&P3=2&P4=igOKERQ8NS2eqL4M79k%2bS7em8HkdWuvb5WfomKqVxuMmqJ4NqA15LDRKKMjm6CjHdBOZOxwASQrneO0EAiZZMA%3d%3d HTTP/1.1 """;;;;;;;;;;;;;;;;;;;;;;;
"3155,""37.673676"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=376143 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3156,""37.679768"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=377503 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3157,""37.679876"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=378863 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3158,""37.685850"",""192.229.232.240"",""192.168.43.22"",""TCP"",""2774"",""80  >  52746 [ACK] Seq=378863 Ack=1749 Win=141 Len=2720 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3159,""37.685993"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=381583 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3160,""37.686328"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=381583 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3161,""37.686516"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=382943 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3162,""37.686553"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=384303 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3163,""37.723511"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=384303 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3164,""37.723666"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=385663 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3165,""37.723719"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=387023 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3166,""37.735773"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=387023 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3167,""37.735941"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=388383 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3168,""37.736004"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=389743 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3169,""37.741646"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=389743 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3170,""37.741817"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=391103 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3171,""37.741871"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=392463 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3172,""37.770592"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=392463 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3173,""37.776607"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=393823 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3174,""37.776720"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=395183 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3175,""37.777093"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=395183 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3176,""37.782505"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=396543 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3177,""37.782635"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=397903 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3178,""37.797505"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=397903 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3179,""37.830861"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52746 [ACK] Seq=400623 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3180,""37.831042"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52746  >  80 [ACK] Seq=1749 Ack=399263 Win=515 Len=0 SLE=400623 SRE=401983""";;;;;;;;;;;;;;;;;;;;;;;
"3181,""37.836705"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=401983 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3182,""37.836820"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3180#1] 52746  >  80 [ACK] Seq=1749 Ack=399263 Win=515 Len=0 SLE=400623 SRE=403343""";;;;;;;;;;;;;;;;;;;;;;;
"3183,""37.837102"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=403343 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3184,""37.837140"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3180#2] 52746  >  80 [ACK] Seq=1749 Ack=399263 Win=515 Len=0 SLE=400623 SRE=404703""";;;;;;;;;;;;;;;;;;;;;;;
"3185,""37.842660"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=404703 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3186,""37.842775"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3180#3] 52746  >  80 [ACK] Seq=1749 Ack=399263 Win=515 Len=0 SLE=400623 SRE=406063""";;;;;;;;;;;;;;;;;;;;;;;
"3187,""37.922603"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52746 [ACK] Seq=399263 Ack=1749 Win=141 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"3188,""37.922738"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=406063 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3189,""38.109437"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52746 [ACK] Seq=407423 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3190,""38.109556"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3188#1] 52746  >  80 [ACK] Seq=1749 Ack=406063 Win=515 Len=0 SLE=407423 SRE=408783""";;;;;;;;;;;;;;;;;;;;;;;
"3191,""38.115380"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=408783 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3192,""38.115492"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3188#2] 52746  >  80 [ACK] Seq=1749 Ack=406063 Win=515 Len=0 SLE=407423 SRE=410143""";;;;;;;;;;;;;;;;;;;;;;;
"3193,""38.115868"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=410143 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3194,""38.115904"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 3188#3] 52746  >  80 [ACK] Seq=1749 Ack=406063 Win=515 Len=0 SLE=407423 SRE=411503""";;;;;;;;;;;;;;;;;;;;;;;
"3195,""38.121276"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Fast Retransmission] 80  >  52746 [ACK] Seq=406063 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3196,""38.121405"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=411503 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3197,""38.150511"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=411503 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3198,""38.156531"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=412863 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"3199,""38.156729"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1749 Ack=414223 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"3200,""38.162492"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52746 [ACK] Seq=414223 Ack=1749 Win=141 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
